10:38:59.279607		ThreadPool.h   	52	ThreadPool     	Info:     0 thread is created.
10:38:59.282064		ThreadPool.h   	52	ThreadPool     	Info:     1 thread is created.
10:39:00.584322		main.cpp       	76	main           	Info:     1 events has been got 
10:39:00.584931		main.cpp       	76	main           	Info:     1 events has been got 
10:39:00.587216		main.cpp       	76	main           	Info:     1 events has been got 
10:39:00.715647		HttpProcessRead	127	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
10:39:00.715660		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
10:39:00.715662		HttpProcessRead	127	parseHead      	Fatal:    unknow headerOrigin: http://120.24.176.229:9527
10:39:00.715665		HttpProcessRead	127	parseHead      	Fatal:    unknow headerContent-Type: application/x-www-form-urlencoded
10:39:00.715669		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
10:39:00.715674		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
10:39:00.715678		HttpProcessRead	127	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/
10:39:00.715681		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
10:39:00.715686		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
10:39:00.715831		main.cpp       	76	main           	Info:     1 events has been got 
